Brain Name,Correction Angle,MB Tilt Angle,Δ from horizontal,Mirrored?,Mirror Value,,,,,
synA647_DF_B01_mirror_resampled_0.8x0.8x0.8_deformed.nii-1,1.68,126.37,36.37,1,36.37,,,,,
synA647_DF_B03_A_resampled_0.8x0.8x0.8_deformed.nii-1,4.26,119.12,29.12,0,-29.12,,,,,
synA647_DF_B03_B_mirror_resampled_0.8x0.8x0.8_deformed.nii-1,-1.4,116.71,26.71,1,26.71,,,,,
synA647_DF_B03_D_resampled_0.8x0.8x0.8_deformed.nii-1,-1.9,101.31,11.31,0,-11.31,,,,,
synA647_DF_B04_B_resampled_0.8x0.8x0.8_deformed.nii-1,-3.37,120.61,30.61,0,-30.61,,,,,
synA647_DF_B05_C_resampled_0.8x0.8x0.8_deformed.nii-1,3.48,118.78,28.78,0,-28.78,,,,,
synA647_DF_B14_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-2.91,106.78,16.78,1,16.78,,,,,
synA647_DF_B16_mirror_resampled_0.8x0.8x0.8_deformed.nii-1,-0.83,121.02,31.02,1,31.02,,,,,
synA647_DF_C01_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-0.08,102.53,12.53,1,12.53,,,,,
synA647_DF_C04-fixed_mirror_resampled_0.8x0.8x0.8_deformed.nii-1,0.14,123.05,33.05,1,33.05,,,,,
synA647_DF_C05_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-1.13,116.87,26.87,0,-26.87,,,,,
synA647_DF_C07_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,1.3,96.53,6.53,1,6.53,,,,,
synA647_DF_C08_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-0.78,111.49,21.49,1,21.49,,,,,
synA647_LL_1-33_resampled_0.8x0.8x0.8_deformed.nii-1.tif,1.02,120.44,30.44,0,-30.44,,,,,
synA647_LL_1-41_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-0.7,108.2,18.2,0,-18.2,,,,,
synA647_LL_2-41_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-1.18,122.7,32.7,1,32.7,,,,,
synA647_LL_2-51_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-1.43,125.75,35.75,0,-35.75,,,,,
synA647_LL_4_220214_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-0.85,113.45,23.45,1,23.45,,,,,
synA647_LL_6_220216_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,0.66,113.48,23.48,1,23.48,,,,,
synA647_LL_10_220216_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-0.09,113.84,23.84,1,23.84,,,,,
synA647_LL_14_220217_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-1.81,114.54,24.54,1,24.54,,,,,
synA647_LL_15_220217_resampled_0.8x0.8x0.8_deformed.nii-1.tif,3.9,99.79,9.79,0,-9.79,,,,,
synA647_LL_201120_B11_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-4.35,121.2,31.2,1,31.2,,,,,
synA647_LL_201120_B21_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,1.17,125.28,35.28,1,35.28,,,,,
synA647_LL_201120_C21_resampled_0.8x0.8x0.8_deformed.nii-1.tif,0.58,116.57,26.57,0,-26.57,,,,,
synA647_LL_201123_C22_resampled_0.8x0.8x0.8_deformed.nii-1.tif,1.55,122.04,32.04,0,-32.04,,,,,
synA647_LL_201212_131_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-4.44,116.36,26.36,0,-26.36,,,,,
synA647_LL_201213_211_resampled_0.8x0.8x0.8_deformed.nii-1.tif,0.11,136.81,46.81,0,-46.81,,,,,
synA647_LL_201213_231_resampled_0.8x0.8x0.8_deformed.nii-1.tif,0.74,116.07,26.07,0,-26.07,,,,,
synA647_LL_201213_242_resampled_0.8x0.8x0.8_deformed.nii-1.tif,1.08,115.86,25.86,0,-25.86,,,,,
synA647_LL_201213_253_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-2.09,116.72,26.72,0,-26.72,,,,,
synA647_LL_201213_263_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-2.27,117.65,27.65,1,27.65,,,,,
synA647_LL_B19_200916_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,2.14,116.16,26.16,1,26.16,,,,,
synA647_LL_B22_200917_resampled_0.8x0.8x0.8_deformed.nii-1.tif,0.75,113.84,23.84,0,-23.84,,,,,
synA647_LL_B26_200917_resampled_0.8x0.8x0.8_deformed.nii-1.tif,0.98,122.86,32.86,0,-32.86,,,,,
synA647_LL_B34_200917_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-4.08,125.7,35.7,0,-35.7,,,,,
synA647_LL_L3_200724_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-2.71,119.74,29.74,0,-29.74,,,,,
synA647_LL_L4_200724_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-1.31,91.68,1.68,0,-1.68,,,,,
synA647_LL_L8_200724_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-1.88,97.13,7.13,1,7.13,,,,,
synA647_LL_L12_200727_mirror_resampled_0.8x0.8x0.8_deformed.nii-1.tif,-0.25,112.86,22.86,1,22.86,,,,,